,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Color,Variety
12208,Red Shoulder Ranch Chardonnay 2017,United States,Los Carneros,Shafer,4.2,253,65.0,2017,White,Chardonnay
12209,Director's Cut Chardonnay 2017,United States,Russian River Valley,Francis Ford Coppola,4.1,253,32.5,2017,White,Chardonnay
12210,Verdejo Rueda 2019,Spain,Rueda,Ramón Bilbao,3.8,253,8.21,2019,White,Verdejo
12211,Chardonnay 2017,United States,Napa Valley,Robert Mondavi,3.7,253,26.81,2017,White,Chardonnay
12212,Riesling Monopol 2018,Germany,Mosel,Maximin Grünhaus,3.9,253,10.63,2018,White,Riesling
12213,Graves Blanc 2012,France,Graves,Clos Floridène,3.8,253,22.32,2012,White,Unknown
12214,Chardonnay 2019,Chile,Colchagua Valley,Los Vascos,3.5,254,8.2,2019,White,Chardonnay
12215,Réserve della Contessa 2018,Italy,Südtirol - Alto Adige,Manincor,3.8,254,15.98,2018,White,Unknown
12216,Pinot Grigio 2018,Italy,Südtirol - Alto Adige,Alois Lageder,3.8,254,11.5,2018,White,Pinot Grigio
12217,Riesling Kabinett 2018,Germany,Rheingau,Kloster Eberbach,3.6,254,11.56,2018,White,Riesling
12218,Viognier 2018,France,Rhone Valley,Paul Jaboulet Aîné,3.6,254,7.7,2018,White,Viognier
12219,Crozes Hermitage Domaine Mule Blanche 2017,France,Crozes-Hermitage,Paul Jaboulet Aîné,3.9,254,37.79,2017,White,Unknown
12220,Pinot Gris Alsace Réserve Personnelle 2013,France,Alsace,Trimbach,4.1,255,31.03,2013,White,Pinot Gris
12221,Signature Branco 2017,Portugal,Alentejano,Mocho Galego,3.7,256,8.0,2017,White,Unknown
12222,Chardonnay 2016,Australia,Margaret River,Vasse Felix,3.9,256,34.54,2016,White,Chardonnay
12223,Veneto Custoza 2019,Italy,Veneto,Monte del Frá,4.0,256,6.6,2019,White,Unknown
12224,Zeltinger Sonnenuhr Riesling Spätlese 2014,Germany,Mosel,Markus Molitor,4.0,257,23.9,2014,White,Riesling
12225,Boschen Blanc 2018,South Africa,Western Cape,Boschendal,3.7,257,7.99,2018,White,Unknown
12226,Rioja Blanco 2019,Spain,Rioja,Marqués de Cáceres,3.8,258,5.25,2019,White,Unknown
12227,Albizzia Chardonnay 2018,Italy,Toscana,Frescobaldi,3.7,258,7.47,2018,White,Chardonnay
12228,Rioja Blanco Barrica 2018,Spain,Rioja,Luis Cañas,3.8,258,8.5,2018,White,Unknown
12229,Deidesheimer Herrgottsacker 2015,Germany,Pfalz,Von Winning,3.9,258,20.95,2015,White,Unknown
12230,Chaminé Branco 2015,Portugal,Alentejano,Cortes de Cima,3.5,259,13.95,2015,White,Unknown
12231,Mâcon-Milly-Lamartine 2015,France,Mâcon-Milly-Lamartine,Les Héritiers du Comte Lafon,3.9,260,25.92,2015,White,Unknown
12232,Finca Valdelagunde Cuveé Especial 2019,Spain,Castilla y León,Bodegas Pedro Escudero,4.0,260,7.4,2019,White,Unknown
12233,Loureiro Dócil 2018,Portugal,Vinho Verde,Niepoort,3.9,260,8.92,2018,White,Loureiro
12234,Wien.1 Vienna White Blend 2018,Austria,Niederösterreich,Weingut R&A Pfaffl,3.9,262,9.99,2018,White,Unknown
12235,Sémillon - Chardonnay 2016,Australia,South Australia,Rawson's Retreat,3.4,262,8.72,2016,White,Chardonnay
12236,Vouvray Classic 2018,France,Vouvray,Marc Brédif,4.0,262,14.9,2018,White,Unknown
12237,Chablis 2017,France,Chablis,Domaine Jean Collet,4.0,262,15.5,2017,White,Unknown
12238,Spitfire Sauvignon Blanc (Small Parcels) 2017,New Zealand,Marlborough,Kim Crawford,4.0,263,27.04,2017,White,Parc
12239,Rossj-Bass Langhe 2018,Italy,Langhe,Gaja,4.4,263,62.95,2018,White,Unknown
12240,Cuvée Silex Vouvray 2018,France,Vouvray,Vigneau-Chevreau,3.9,263,13.5,2018,White,Unknown
12241,Masseria dei Carmelitani Gavi 2018,Italy,Gavi,Vite Colte,4.0,264,9.66,2018,White,Unknown
12242,Riesling Porphyr 2017,Germany,Nahe,Hexamer,3.9,265,12.2,2017,White,Riesling
12243,Mâcon-Villages 2018,France,Mâcon-Villages,Les Héritiers du Comte Lafon,3.8,265,18.9,2018,White,Unknown
12244,Réserve Spéciale Viognier 2017,France,Pays d'Oc,Gérard Bertrand,3.6,266,9.56,2017,White,Viognier
12245,Montagny 1er Cru La Grande Roche 2018,France,Montagny Premier Cru,Louis Latour,3.9,266,17.45,2018,White,Unknown
12246,Légende (R) Bordeaux Blanc 2017,France,Bordeaux,Barons de Rothschild (Lafite),3.8,266,12.14,2017,White,Unknown
12247,Gewürztraminer Réserve 2018,France,Alsace,Lucien Albrecht,4.0,267,11.36,2018,White,Gewürztraminer
12248,Riesling Trocken Blauschiefer 2018,Germany,Mosel,Dr. Loosen,3.8,267,10.4,2018,White,Riesling
12249,Chardonnay Banghoek Reserve 2018,South Africa,Stellenbosch,Delaire Graff,4.0,267,17.95,2018,White,Chardonnay
12250,Blanc 2017,Spain,Bizkaiko Txakolina,Gorka Izagirre,3.6,267,10.99,2017,White,Unknown
12251,Sauvignon Blanc de Purcari 2018,Moldova,South Eastern,Château Purcari,4.0,267,10.98,2018,White,Sauvignon Blanc
12252,Waltraud Riesling 2018,Spain,Penedès,Torres,3.9,268,11.9,2018,White,Riesling
12253,Blanc de Pinot Noir 2018,Germany,Pfalz,Fußer,3.9,268,7.94,2018,White,Pinot Noir
12254,Kiedrich Gräfenberg Riesling Trocken GG 2015,Germany,Rheingau,Robert Weil,4.0,268,41.87,2015,White,Riesling
12255,Douro Guru Branco 2017,Portugal,Douro,Wine & Soul,4.2,269,25.34,2017,White,Unknown
